ffmpeg version N-124716-g054dffd133-20260531 Copyright (c) 2000-2026 the FFmpeg developers
  built with gcc 15.2.0 (crosstool-NG 1.28.0.23_185f348)
  configuration: --prefix=/ffbuild/prefix --pkg-config-flags=--static --pkg-config=pkg-config --cross-prefix=x86_64-w64-mingw32- --arch=x86_64 --target-os=mingw32 --enable-gpl --enable-version3 --disable-debug --disable-w32threads --enable-pthreads --enable-iconv --enable-zlib --enable-libxml2 --enable-libvmaf --enable-fontconfig --enable-libharfbuzz --enable-libfreetype --enable-libfribidi --enable-vulkan --enable-libshaderc --enable-libvorbis --disable-libxcb --disable-xlib --disable-libpulse --enable-opencl --enable-gmp --enable-lzma --enable-liblcevc-dec --enable-amf --enable-libaom --enable-libaribb24 --enable-avisynth --enable-chromaprint --enable-libdav1d --enable-libdavs2 --enable-libdvdread --enable-libdvdnav --disable-libfdk-aac --enable-ffnvcodec --enable-cuda-llvm --enable-frei0r --enable-libgme --enable-libkvazaar --enable-libaribcaption --enable-libass --enable-libbluray --enable-libjxl --enable-libmp3lame --enable-libopus --enable-libplacebo --enable-librist --enable-libssh --enable-libtheora --enable-libvpx --enable-libwebp --enable-libzmq --enable-lv2 --enable-libvpl --enable-openal --enable-liboapv --enable-libopencore-amrnb --enable-libopencore-amrwb --enable-libopenh264 --enable-libopenjpeg --enable-libopenmpt --enable-librav1e --enable-librubberband --enable-schannel --enable-sdl2 --enable-libsnappy --enable-libsoxr --enable-libsrt --enable-libsvtav1 --enable-libtwolame --enable-libuavs3d --disable-libdrm --enable-vaapi --enable-libvidstab --enable-libvvenc --enable-whisper --enable-libx264 --enable-libx265 --enable-libxavs2 --enable-libxvid --enable-libzimg --enable-libzvbi --extra-cflags=-DLIBTWOLAME_STATIC --extra-cxxflags= --extra-libs=-lgomp --extra-ldflags=-pthread --extra-ldexeflags= --cc=x86_64-w64-mingw32-gcc --cxx=x86_64-w64-mingw32-g++ --ar=x86_64-w64-mingw32-gcc-ar --ranlib=x86_64-w64-mingw32-gcc-ranlib --nm=x86_64-w64-mingw32-gcc-nm --extra-version=20260531
  libavutil      60. 31.100 / 60. 31.100
  libavcodec     62. 35.100 / 62. 35.100
  libavformat    62. 19.100 / 62. 19.100
  libavdevice    62.  4.100 / 62.  4.100
  libavfilter    11. 17.100 / 11. 17.100
  libswscale      9.  7.100 /  9.  7.100
  libswresample   6.  4.100 /  6.  4.100
Input #0, rawvideo, from 'fd:':
  Duration: N/A, start: 0.000000, bitrate: 1492992 kb/s
  Stream #0:0: Video: rawvideo (RGB[24] / 0x18424752), rgb24, 1920x1080, 1492992 kb/s, 30 tbr, 30 tbn
Stream mapping:
  Stream #0:0 -> #0:0 (rawvideo (native) -> h264 (libx264))
[libx264 @ 00000000007e2f40] using cpu capabilities: MMX2 SSE2Fast SSSE3 SSE4.2 AVX FMA3 BMI2 AVX2
[libx264 @ 00000000007e2f40] profile High, level 4.0, 4:2:0, 8-bit
[libx264 @ 00000000007e2f40] 264 - core 165 - H.264/MPEG-4 AVC codec - Copyleft 2003-2025 - http://www.videolan.org/x264.html - options: cabac=1 ref=3 deblock=1:0:0 analyse=0x3:0x113 me=hex subme=7 psy=1 psy_rd=1.00:0.00 mixed_ref=1 me_range=16 chroma_me=1 trellis=1 8x8dct=1 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=-2 threads=18 lookahead_threads=3 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=18.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
Output #0, mp4, to 'deliverables\masterclass\..stem-cell-dome-campaign-v5-seg02-silent-render-34708.mp4':
  Metadata:
    encoder         : Lavf62.19.100
  Stream #0:0: Video: h264 (avc1 / 0x31637661), yuv420p(tv, progressive), 1920x1080, q=2-31, 30 fps, 15360 tbn
    Metadata:
      encoder         : Lavc62.35.100 libx264
    Side data:
      CPB properties: bitrate max/min/avg: 0/0/0 buffer size: 0 vbv_delay: N/A
frame=    0 fps=0.0 q=0.0 size=       0KiB time=N/A bitrate=N/A speed=N/A elapsed=0:00:00.51    
frame=    0 fps=0.0 q=0.0 size=       0KiB time=N/A bitrate=N/A speed=N/A elapsed=0:00:01.02    
frame=    0 fps=0.0 q=0.0 size=       0KiB time=N/A bitrate=N/A speed=N/A elapsed=0:00:01.54    
frame=    0 fps=0.0 q=0.0 size=       0KiB time=N/A bitrate=N/A speed=N/A elapsed=0:00:02.06    
frame=    0 fps=0.0 q=0.0 size=       0KiB time=N/A bitrate=N/A speed=N/A elapsed=0:00:02.57    
frame=   10 fps=3.2 q=24.0 size=     256KiB time=00:00:00.26 bitrate=7865.8kbits/s speed=0.0861x elapsed=0:00:03.09    
frame=   21 fps=5.8 q=24.0 size=     512KiB time=00:00:00.63 bitrate=6623.2kbits/s speed=0.175x elapsed=0:00:03.61    
frame=   33 fps=8.0 q=24.0 size=     512KiB time=00:00:01.03 bitrate=4059.4kbits/s speed=0.251x elapsed=0:00:04.11    
frame=   45 fps=9.7 q=24.0 size=     768KiB time=00:00:01.43 bitrate=4389.7kbits/s speed=0.309x elapsed=0:00:04.63    
frame=   56 fps= 11 q=24.0 size=    1024KiB time=00:00:01.80 bitrate=4660.6kbits/s speed=0.349x elapsed=0:00:05.15    
frame=   67 fps= 12 q=24.0 size=    1280KiB time=00:00:02.16 bitrate=4839.8kbits/s speed=0.382x elapsed=0:00:05.67    
frame=   79 fps= 13 q=24.0 size=    1280KiB time=00:00:02.56 bitrate=4085.5kbits/s speed=0.415x elapsed=0:00:06.18    
frame=   90 fps= 13 q=24.0 size=    1536KiB time=00:00:02.93 bitrate=4289.8kbits/s speed=0.437x elapsed=0:00:06.70    
frame=  102 fps= 14 q=24.0 size=    1792KiB time=00:00:03.33 bitrate=4404.1kbits/s speed=0.461x elapsed=0:00:07.22    
frame=  114 fps= 15 q=24.0 size=    1792KiB time=00:00:03.73 bitrate=3932.3kbits/s speed=0.483x elapsed=0:00:07.72    
frame=  126 fps= 15 q=24.0 size=    2048KiB time=00:00:04.13 bitrate=4059.1kbits/s speed=0.501x elapsed=0:00:08.24    
frame=  137 fps= 16 q=24.0 size=    2304KiB time=00:00:04.50 bitrate=4194.4kbits/s speed=0.513x elapsed=0:00:08.76    
frame=  148 fps= 16 q=24.0 size=    2304KiB time=00:00:04.86 bitrate=3878.4kbits/s speed=0.524x elapsed=0:00:09.27    
frame=  160 fps= 16 q=24.0 size=    2560KiB time=00:00:05.26 bitrate=3982.0kbits/s speed=0.538x elapsed=0:00:09.79    
frame=  172 fps= 17 q=24.0 size=    2816KiB time=00:00:05.66 bitrate=4071.0kbits/s speed=0.549x elapsed=0:00:10.31    
frame=  183 fps= 17 q=24.0 size=    3072KiB time=00:00:06.03 bitrate=4171.2kbits/s speed=0.557x elapsed=0:00:10.83    
frame=  194 fps= 17 q=24.0 size=    3072KiB time=00:00:06.40 bitrate=3932.2kbits/s speed=0.564x elapsed=0:00:11.34    
frame=  206 fps= 17 q=24.0 size=    3328KiB time=00:00:06.80 bitrate=4009.3kbits/s speed=0.573x elapsed=0:00:11.86    
frame=  217 fps= 18 q=24.0 size=    3584KiB time=00:00:07.16 bitrate=4096.8kbits/s speed=0.579x elapsed=0:00:12.38    
frame=  229 fps= 18 q=24.0 size=    3584KiB time=00:00:07.56 bitrate=3880.2kbits/s speed=0.587x elapsed=0:00:12.88    
frame=  240 fps= 18 q=24.0 size=    3840KiB time=00:00:07.93 bitrate=3965.3kbits/s speed=0.592x elapsed=0:00:13.40    
frame=  252 fps= 18 q=24.0 size=    4096KiB time=00:00:08.33 bitrate=4026.6kbits/s speed=0.598x elapsed=0:00:13.92    
frame=  263 fps= 18 q=24.0 size=    4352KiB time=00:00:08.70 bitrate=4097.9kbits/s speed=0.602x elapsed=0:00:14.44    
frame=  274 fps= 18 q=24.0 size=    4608KiB time=00:00:09.06 bitrate=4163.5kbits/s speed=0.606x elapsed=0:00:14.94    
frame=  285 fps= 18 q=24.0 size=    4608KiB time=00:00:09.43 bitrate=4001.7kbits/s speed=0.61x elapsed=0:00:15.46    
frame=  297 fps= 19 q=24.0 size=    4864KiB time=00:00:09.83 bitrate=4052.2kbits/s speed=0.615x elapsed=0:00:15.98    
frame=  309 fps= 19 q=24.0 size=    5120KiB time=00:00:10.23 bitrate=4098.7kbits/s speed=0.62x elapsed=0:00:16.50    
frame=  320 fps= 19 q=24.0 size=    5120KiB time=00:00:10.60 bitrate=3956.9kbits/s speed=0.623x elapsed=0:00:17.02    
frame=  332 fps= 19 q=24.0 size=    5376KiB time=00:00:11.00 bitrate=4003.7kbits/s speed=0.628x elapsed=0:00:17.52    
frame=  343 fps= 19 q=24.0 size=    5632KiB time=00:00:11.36 bitrate=4059.0kbits/s speed=0.63x elapsed=0:00:18.05    
frame=  354 fps= 19 q=24.0 size=    5632KiB time=00:00:11.73 bitrate=3932.2kbits/s speed=0.632x elapsed=0:00:18.55    
frame=  366 fps= 19 q=24.0 size=    5888KiB time=00:00:12.13 bitrate=3975.4kbits/s speed=0.636x elapsed=0:00:19.07    
frame=  378 fps= 19 q=24.0 size=    5888KiB time=00:00:12.53 bitrate=3848.5kbits/s speed=0.639x elapsed=0:00:19.59    
frame=  389 fps= 19 q=24.0 size=    6144KiB time=00:00:12.90 bitrate=3901.7kbits/s speed=0.641x elapsed=0:00:20.11    
frame=  400 fps= 19 q=24.0 size=    6400KiB time=00:00:13.26 bitrate=3951.9kbits/s speed=0.643x elapsed=0:00:20.62    
frame=  411 fps= 19 q=24.0 size=    6400KiB time=00:00:13.63 bitrate=3845.7kbits/s speed=0.645x elapsed=0:00:21.13    
frame=  423 fps= 20 q=24.0 size=    6656KiB time=00:00:14.03 bitrate=3885.5kbits/s speed=0.648x elapsed=0:00:21.65    
frame=  435 fps= 20 q=24.0 size=    6656KiB time=00:00:14.43 bitrate=3777.8kbits/s speed=0.651x elapsed=0:00:22.17    
frame=  447 fps= 20 q=24.0 size=    6912KiB time=00:00:14.83 bitrate=3817.3kbits/s speed=0.654x elapsed=0:00:22.69    
frame=  458 fps= 20 q=24.0 size=    6912KiB time=00:00:15.20 bitrate=3725.2kbits/s speed=0.655x elapsed=0:00:23.20    
frame=  469 fps= 20 q=24.0 size=    7168KiB time=00:00:15.56 bitrate=3772.2kbits/s speed=0.656x elapsed=0:00:23.72    
frame=  480 fps= 20 q=24.0 size=    7168KiB time=00:00:15.93 bitrate=3685.4kbits/s speed=0.658x elapsed=0:00:24.22    
frame=  492 fps= 20 q=24.0 size=    7424KiB time=00:00:16.33 bitrate=3723.5kbits/s speed=0.66x elapsed=0:00:24.74    
frame=  503 fps= 20 q=24.0 size=    7936KiB time=00:00:16.70 bitrate=3892.9kbits/s speed=0.661x elapsed=0:00:25.26    
frame=  515 fps= 20 q=24.0 size=    7936KiB time=00:00:17.10 bitrate=3801.9kbits/s speed=0.663x elapsed=0:00:25.78    
frame=  526 fps= 20 q=24.0 size=    8192KiB time=00:00:17.46 bitrate=3842.1kbits/s speed=0.664x elapsed=0:00:26.29    
frame=  538 fps= 20 q=24.0 size=    8192KiB time=00:00:17.86 bitrate=3756.1kbits/s speed=0.666x elapsed=0:00:26.81    
frame=  549 fps= 20 q=24.0 size=    8448KiB time=00:00:18.23 bitrate=3795.6kbits/s speed=0.667x elapsed=0:00:27.33    
frame=  561 fps= 20 q=24.0 size=    8448KiB time=00:00:18.63 bitrate=3714.1kbits/s speed=0.669x elapsed=0:00:27.84    
frame=  572 fps= 20 q=24.0 size=    8704KiB time=00:00:19.00 bitrate=3752.8kbits/s speed=0.67x elapsed=0:00:28.36    
frame=  584 fps= 20 q=24.0 size=    8704KiB time=00:00:19.40 bitrate=3675.4kbits/s speed=0.672x elapsed=0:00:28.88    
frame=  594 fps= 20 q=24.0 size=    8704KiB time=00:00:19.73 bitrate=3613.4kbits/s speed=0.672x elapsed=0:00:29.38    
frame=  605 fps= 20 q=24.0 size=    8960KiB time=00:00:20.10 bitrate=3651.8kbits/s speed=0.672x elapsed=0:00:29.90    
frame=  617 fps= 20 q=24.0 size=    8960KiB time=00:00:20.50 bitrate=3580.5kbits/s speed=0.674x elapsed=0:00:30.41    
frame=  629 fps= 20 q=24.0 size=    8960KiB time=00:00:20.90 bitrate=3512.0kbits/s speed=0.676x elapsed=0:00:30.93    
frame=  640 fps= 20 q=24.0 size=    8960KiB time=00:00:21.26 bitrate=3451.4kbits/s speed=0.676x elapsed=0:00:31.44    
frame=  652 fps= 20 q=24.0 size=    8960KiB time=00:00:21.66 bitrate=3387.7kbits/s speed=0.678x elapsed=0:00:31.96    
frame=  662 fps= 20 q=24.0 size=    8960KiB time=00:00:22.00 bitrate=3336.4kbits/s speed=0.677x elapsed=0:00:32.48    
frame=  673 fps= 20 q=24.0 size=    9216KiB time=00:00:22.36 bitrate=3375.5kbits/s speed=0.678x elapsed=0:00:33.00    
frame=  684 fps= 20 q=24.0 size=    9216KiB time=00:00:22.73 bitrate=3321.0kbits/s speed=0.678x elapsed=0:00:33.51    
frame=  696 fps= 20 q=24.0 size=    9216KiB time=00:00:23.13 bitrate=3263.6kbits/s speed=0.68x elapsed=0:00:34.03    
frame=  708 fps= 20 q=24.0 size=    9472KiB time=00:00:23.53 bitrate=3297.2kbits/s speed=0.681x elapsed=0:00:34.55    
frame=  719 fps= 21 q=24.0 size=    9728KiB time=00:00:23.90 bitrate=3334.4kbits/s speed=0.682x elapsed=0:00:35.06    
frame=  730 fps= 21 q=24.0 size=    9728KiB time=00:00:24.26 bitrate=3284.0kbits/s speed=0.682x elapsed=0:00:35.58    
frame=  741 fps= 21 q=24.0 size=    9728KiB time=00:00:24.63 bitrate=3235.1kbits/s speed=0.682x elapsed=0:00:36.10    
frame=  752 fps= 21 q=24.0 size=   10240KiB time=00:00:25.00 bitrate=3355.5kbits/s speed=0.683x elapsed=0:00:36.61    
frame=  764 fps= 21 q=24.0 size=   10240KiB time=00:00:25.40 bitrate=3302.6kbits/s speed=0.684x elapsed=0:00:37.12    
frame=  776 fps= 21 q=24.0 size=   10496KiB time=00:00:25.80 bitrate=3332.7kbits/s speed=0.685x elapsed=0:00:37.64    
frame=  787 fps= 21 q=24.0 size=   10752KiB time=00:00:26.16 bitrate=3366.1kbits/s speed=0.686x elapsed=0:00:38.15    
frame=  798 fps= 21 q=24.0 size=   10752KiB time=00:00:26.53 bitrate=3319.6kbits/s speed=0.686x elapsed=0:00:38.66    
frame=  810 fps= 21 q=24.0 size=   11008KiB time=00:00:26.93 bitrate=3348.2kbits/s speed=0.687x elapsed=0:00:39.18    
frame=  821 fps= 21 q=24.0 size=   11008KiB time=00:00:27.30 bitrate=3303.2kbits/s speed=0.688x elapsed=0:00:39.70    
frame=  833 fps= 21 q=24.0 size=   11264KiB time=00:00:27.70 bitrate=3331.2kbits/s speed=0.689x elapsed=0:00:40.22    
frame=  845 fps= 21 q=24.0 size=   11264KiB time=00:00:28.10 bitrate=3283.8kbits/s speed=0.69x elapsed=0:00:40.74    
frame=  856 fps= 21 q=24.0 size=   11520KiB time=00:00:28.46 bitrate=3315.2kbits/s speed=0.69x elapsed=0:00:41.25    
frame=  866 fps= 21 q=24.0 size=   11520KiB time=00:00:28.80 bitrate=3276.8kbits/s speed=0.689x elapsed=0:00:41.77    
frame=  877 fps= 21 q=24.0 size=   11776KiB time=00:00:29.16 bitrate=3307.5kbits/s speed=0.69x elapsed=0:00:42.28    
frame=  888 fps= 21 q=24.0 size=   11776KiB time=00:00:29.53 bitrate=3266.5kbits/s speed=0.69x elapsed=0:00:42.80    
frame=  898 fps= 21 q=24.0 size=   12032KiB time=00:00:29.86 bitrate=3300.2kbits/s speed=0.69x elapsed=0:00:43.31    
frame=  910 fps= 21 q=24.0 size=   12032KiB time=00:00:30.26 bitrate=3256.6kbits/s speed=0.69x elapsed=0:00:43.83    
frame=  921 fps= 21 q=24.0 size=   12288KiB time=00:00:30.63 bitrate=3286.1kbits/s speed=0.691x elapsed=0:00:44.35    
frame=  932 fps= 21 q=24.0 size=   12544KiB time=00:00:31.00 bitrate=3314.9kbits/s speed=0.691x elapsed=0:00:44.85    
frame=  943 fps= 21 q=24.0 size=   12544KiB time=00:00:31.36 bitrate=3276.1kbits/s speed=0.691x elapsed=0:00:45.37    
frame=  955 fps= 21 q=24.0 size=   12800KiB time=00:00:31.76 bitrate=3300.9kbits/s speed=0.692x elapsed=0:00:45.88    
frame=  966 fps= 21 q=24.0 size=   12800KiB time=00:00:32.13 bitrate=3263.2kbits/s speed=0.693x elapsed=0:00:46.40    
frame=  978 fps= 21 q=24.0 size=   13056KiB time=00:00:32.53 bitrate=3287.6kbits/s speed=0.693x elapsed=0:00:46.93    
frame=  988 fps= 21 q=24.0 size=   13312KiB time=00:00:32.86 bitrate=3318.0kbits/s speed=0.693x elapsed=0:00:47.44    
frame=  999 fps= 21 q=24.0 size=   13312KiB time=00:00:33.23 bitrate=3281.4kbits/s speed=0.693x elapsed=0:00:47.96    
frame= 1010 fps= 21 q=24.0 size=   13824KiB time=00:00:33.60 bitrate=3370.4kbits/s speed=0.693x elapsed=0:00:48.46    
frame= 1021 fps= 21 q=24.0 size=   13824KiB time=00:00:33.96 bitrate=3334.1kbits/s speed=0.693x elapsed=0:00:48.98    
frame= 1032 fps= 21 q=24.0 size=   14080KiB time=00:00:34.33 bitrate=3359.5kbits/s speed=0.694x elapsed=0:00:49.50    
frame= 1043 fps= 21 q=24.0 size=   14336KiB time=00:00:34.70 bitrate=3384.5kbits/s speed=0.694x elapsed=0:00:50.02    
frame= 1053 fps= 21 q=24.0 size=   14336KiB time=00:00:35.03 bitrate=3352.3kbits/s speed=0.693x elapsed=0:00:50.52    
frame= 1064 fps= 21 q=24.0 size=   14592KiB time=00:00:35.40 bitrate=3376.8kbits/s speed=0.694x elapsed=0:00:51.04    
