clip_id,audio_file,text,status,duration_s,peak_dbfs,rms_dbfs,clipped_pct,silence_pct,sample_rate,channels,sha256,source_id,rejection_reason,created_at
mic-20260804-121349-p01,clips/mic-20260804-121349-p01.wav,Welcome. We are going to build this idea one careful step at a time.,accepted,6.818750,-2.307914,-23.188813,0.000000,1.754386,24000,1,f56e3c77a03bb78095559550efb4ca9cf84124202bebc9c4a5728e6536a91f8f,mic-20260804-121349-p01,,2026-08-04T17:13:49+00:00
mic-20260804-121359-p02,clips/mic-20260804-121359-p02.wav,A triangle holds its shape because all three sides constrain one another.,accepted,6.156250,-8.998898,-24.900499,0.000000,19.902913,24000,1,2f744f50b756a6300c64c1982a1c430b3b2ae85648827587778a3322365de5a5,mic-20260804-121359-p02,,2026-08-04T17:13:59+00:00
mic-20260804-121409-p03,clips/mic-20260804-121409-p03.wav,"The measured length is seventy-two inches, plus or minus one eighth.",accepted,5.431250,-6.577782,-23.205277,0.000000,24.725275,24000,1,72b34487836919db0997b9b72725ba3f0fb5e4414dbef347d4d580fa08e419ec,mic-20260804-121409-p03,,2026-08-04T17:14:09+00:00
mic-20260804-121417-p04,clips/mic-20260804-121417-p04.wav,Short members are sixty-three point five inches from center to center.,accepted,4.987500,-4.735298,-22.033805,0.000000,4.191617,24000,1,1ddfea249bce7db5ce65fe9d4967dbe9ecadcc4dd17cb9bdff31d1fdb3f91ba3,mic-20260804-121417-p04,,2026-08-04T17:14:17+00:00
mic-20260804-121427-p05,clips/mic-20260804-121427-p05.wav,What changes when the midpoint is projected back onto the sphere?,accepted,8.018750,-3.123675,-22.133375,0.000000,8.208955,24000,1,f59b9aac0ca6642f0d1ab12b231dda070cba08cfe20339e948a3373183de2e44,mic-20260804-121427-p05,,2026-08-04T17:14:28+00:00
mic-20260804-121434-p06,clips/mic-20260804-121434-p06.wav,Notice how the force travels down both sides and into the foundation.,accepted,4.687500,-7.312305,-22.780086,0.000000,12.738854,24000,1,0ec2c11fcb601ddef54e39a4e22e823fbd8305e0695a86be9074d53209a6619c,mic-20260804-121434-p06,,2026-08-04T17:14:34+00:00
mic-20260804-121440-p07,clips/mic-20260804-121440-p07.wav,"PVC, timber, aluminum, and steel require different connection details.",accepted,4.418750,-7.385818,-21.219134,0.000000,3.378378,24000,1,df0a1c6b8b593f78bd0491276c727fb34260c376eddbfbbcc194aa8131e165f6,mic-20260804-121440-p07,,2026-08-04T17:14:40+00:00
mic-20260804-121446-p08,clips/mic-20260804-121446-p08.wav,"First verify the radius; then check the diameter, height, and base level.",accepted,4.687500,-3.513612,-21.431862,0.000000,8.280255,24000,1,d3505d80cd179ec0131a73e520a3fbacf57c23f166b2073480eb732f62479b95,mic-20260804-121446-p08,,2026-08-04T17:14:46+00:00
mic-20260804-121458-p09,clips/mic-20260804-121458-p09.wav,The golden ratio is one point six one eight zero three four.,accepted,10.262500,-6.444837,-24.087776,0.000000,34.985423,24000,1,0afb81bfedf2b74c78f0d1db727bd0cad833788d8f5504f7e9a11ea7129069dd,mic-20260804-121458-p09,,2026-08-04T17:14:58+00:00
mic-20260804-121503-p10,clips/mic-20260804-121503-p10.wav,This is not a shortcut. It is a second method for checking the same result.,accepted,4.387500,-8.151916,-25.033496,0.000000,0.680272,24000,1,4189a929a691331905bd05189fc482164b1c69820ffb0256538f8141bd3046ad,mic-20260804-121503-p10,,2026-08-04T17:15:04+00:00
mic-20260804-121526-p14,clips/mic-20260804-121526-p14.wav,The camera moves closer so we can inspect the joint without losing context.,accepted,20.700000,-8.407007,-24.318220,0.000000,11.884058,24000,1,eeb120199b2a163161f20e74d80984c82bc01aef920821f277d841b168d239cb,mic-20260804-121526-p14,,2026-08-04T17:15:26+00:00
mic-20260804-121534-p15,clips/mic-20260804-121534-p15.wav,Why do repeated errors become more visible near the top of the dome?,accepted,6.125000,-8.261697,-23.295384,0.000000,9.268293,24000,1,115aebd6bed0d9fd4aeda5729b4d862ccf0385b020e96c0d9c00fc7553f178fd,mic-20260804-121534-p15,,2026-08-04T17:15:34+00:00
mic-20260804-121541-p16,clips/mic-20260804-121541-p16.wav,Ten base hubs form a regular decagon on a flat and level foundation.,accepted,4.987500,-7.777929,-23.142307,0.000000,1.197605,24000,1,e7b0d0c5ba1c2291a8ee4d16c6cb5654363844d3133cb3794271bc2d29303389,mic-20260804-121541-p16,,2026-08-04T17:15:41+00:00
mic-20260804-121547-p17,clips/mic-20260804-121547-p17.wav,Thirty short struts and thirty-five long struts make sixty-five members.,accepted,4.087500,-8.954195,-24.538023,0.000000,3.649635,24000,1,cd5c874f5fb27fce91d08abaf7538c141d7d184c0d8d304011a9a3d5607245fa,mic-20260804-121547-p17,,2026-08-04T17:15:47+00:00
